waypoint1	waypoint2	distance_m	duration_s
Alphabet City Beer Co., Avenue C, New York, NY	SingleCut Beersmiths, 37th Street, Queens, NY	12430	2933
LIC Beer Project, Queens, NY	Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	34729	5493
Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	Big Alice Brewing, 43rd Road, NY	14370	3611
Rockaway Brewing Company, Queens, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	21295	4423
Threes Brewing, Douglass Street, New York, NY	Big Alice Brewing, 43rd Road, NY	11415	2588
Other Half Brewing Company, Centre Street, Brooklyn, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	4156	938
Brooklyn Brewery, North 11th Street, New York, NY	Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	396	276
Alphabet City Beer Co., Avenue C, New York, NY	Big Alice Brewing, 43rd Road, NY	10047	2290
Alphabet City Beer Co., Avenue C, New York, NY	LIC Beer Project, Queens, NY	26418	4510
Threes Brewing, Douglass Street, New York, NY	Other Half Brewing Company, Centre Street, Brooklyn, NY	1912	944
Bridge and Tunnel Brewery, Decatur Street, Queens, NY	LIC Beer Project, Queens, NY	16590	4036
Bridge and Tunnel Brewery, Decatur Street, Queens, NY	Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	7418	1868
Transmitter Brewing, Queens, NY	Big Alice Brewing, 43rd Road, NY	18192	3320
Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	Other Half Brewing Company, Centre Street, Brooklyn, NY	9526	1871
The Flagship Brewing Company, Minthorne Street, Staten Island, NY	Transmitter Brewing, Queens, NY	51450	7323
Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	5776	1238
LIC Beer Project, Queens, NY	Rockaway Brewing Company, Queens, NY	0	0
Bridge and Tunnel Brewery, Decatur Street, Queens, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	7078	2317
Alphabet City Beer Co., Avenue C, New York, NY	The Flagship Brewing Company, Minthorne Street, Staten Island, NY	26394	4704
The Flagship Brewing Company, Minthorne Street, Staten Island, NY	Other Half Brewing Company, Centre Street, Brooklyn, NY	20715	4581
Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	Rockaway Brewing Company, Queens, NY	34729	5493
Bridge and Tunnel Brewery, Decatur Street, Queens, NY	The Flagship Brewing Company, Minthorne Street, Staten Island, NY	34856	5436
The Flagship Brewing Company, Minthorne Street, Staten Island, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	29123	4739
LIC Beer Project, Queens, NY	Other Half Brewing Company, Centre Street, Brooklyn, NY	32695	4783
Other Half Brewing Company, Centre Street, Brooklyn, NY	Big Alice Brewing, 43rd Road, NY	12336	2481
Threes Brewing, Douglass Street, New York, NY	SingleCut Beersmiths, 37th Street, Queens, NY	18649	3770
The Flagship Brewing Company, Minthorne Street, Staten Island, NY	Threes Brewing, Douglass Street, New York, NY	21979	4557
Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	SingleCut Beersmiths, 37th Street, Queens, NY	21336	4362
Brooklyn Brewery, North 11th Street, New York, NY	Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	11858	3208
Alphabet City Beer Co., Avenue C, New York, NY	Rockaway Brewing Company, Queens, NY	26418	4510
LIC Beer Project, Queens, NY	Transmitter Brewing, Queens, NY	0	0
The Flagship Brewing Company, Minthorne Street, Staten Island, NY	Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	30683	5153
LIC Beer Project, Queens, NY	SingleCut Beersmiths, 37th Street, Queens, NY	17975	3714
The Flagship Brewing Company, Minthorne Street, Staten Island, NY	Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	32087	4885
Rockaway Brewing Company, Queens, NY	SingleCut Beersmiths, 37th Street, Queens, NY	17975	3714
Brooklyn Brewery, North 11th Street, New York, NY	The Flagship Brewing Company, Minthorne Street, Staten Island, NY	28862	4878
The Flagship Brewing Company, Minthorne Street, Staten Island, NY	SingleCut Beersmiths, 37th Street, Queens, NY	36880	5506
Other Half Brewing Company, Centre Street, Brooklyn, NY	SingleCut Beersmiths, 37th Street, Queens, NY	19302	3712
Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	Threes Brewing, Douglass Street, New York, NY	3542	1722
Threes Brewing, Douglass Street, New York, NY	Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	8605	1978
Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	5659	2193
Bridge and Tunnel Brewery, Decatur Street, Queens, NY	Other Half Brewing Company, Centre Street, Brooklyn, NY	13755	2686
Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	SingleCut Beersmiths, 37th Street, Queens, NY	7630	1211
Sixpoint Brewery, Van Dyke Street, Brooklyn, NY	Transmitter Brewing, Queens, NY	34404	5919
Brooklyn Brewery, North 11th Street, New York, NY	Threes Brewing, Douglass Street, New York, NY	8903	2185
Bridge and Tunnel Brewery, Decatur Street, Queens, NY	Rockaway Brewing Company, Queens, NY	16590	4036
Brooklyn Brewery, North 11th Street, New York, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	6074	1445
Bridge and Tunnel Brewery, Decatur Street, Queens, NY	Transmitter Brewing, Queens, NY	16590	4036
Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	SingleCut Beersmiths, 37th Street, Queens, NY	12338	3005
LIC Beer Project, Queens, NY	Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	19083	4040
Transmitter Brewing, Queens, NY	Other Half Brewing Company, Centre Street, Brooklyn, NY	30349	4968
Big Alice Brewing, 43rd Road, NY	Rockaway Brewing Company, Queens, NY	18192	3320
Threes Brewing, Douglass Street, New York, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	3235	1045
LIC Beer Project, Queens, NY	Threes Brewing, Douglass Street, New York, NY	31742	4890
Transmitter Brewing, Queens, NY	SingleCut Beersmiths, 37th Street, Queens, NY	16124	3728
Alphabet City Beer Co., Avenue C, New York, NY	Other Half Brewing Company, Centre Street, Brooklyn, NY	7307	2516
Brooklyn Brewery, North 11th Street, New York, NY	Transmitter Brewing, Queens, NY	28764	4588
Alphabet City Beer Co., Avenue C, New York, NY	Bridge and Tunnel Brewery, Decatur Street, Queens, NY	9845	2057
Alphabet City Beer Co., Avenue C, New York, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	8505	1837
Transmitter Brewing, Queens, NY	Greenpoint Beer and Ale, North 15th Street, Brooklyn, NY	19083	4040
The Flagship Brewing Company, Minthorne Street, Staten Island, NY	Big Alice Brewing, 43rd Road, NY	31354	5018
LIC Beer Project, Queens, NY	The Flagship Brewing Company, Minthorne Street, Staten Island, NY	51450	7323
Big Alice Brewing, 43rd Road, NY	Greenpoint Beer Works, Waverly Avenue, Brooklyn, NY	8586	1848
