Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
593.0,,,,,,
711.0,,,,,,
1500.0,,,,,,
1200.0,,,,,,
505.0,,,,,,
855.0,,,,,,
556.0,,,,,,
891.0,,,,,,
3600.0,,,,,,
710.0,,,,,,
2200.0,,,,,,
1900.0,,,,,,
823.0,,,,,,
10000.0,,,,,,
761.0,,,,,,
1600.0,,,,,,
13600.0,,,,,,
3100.0,,,,,,
5700.0,,,,,,
17100.0,,,,,,
2800.0,,,,,,
598.0,,,,,,
445.0,,,,,,
1500.0,,,,,,
852.0,,,,,,
783.0,,,,,,
1500.0,,,,,,
1800.0,,,,,,
462.0,,,,,,
425.0,,,,,,
3200.0,,,,,,
3900.0,,,,,,
480.0,,,,,,
573.0,,,,,,
3600.0,,,,,,
343.0,,,,,,
7700.0,,,,,,
2600.0,,,,,,
504.0,,,,,,
2100.0,,,,,,
1100.0,,,,,,
401.0,,,,,,
4200.0,,,,,,
1200.0,,,,,,
1500.0,,,,,,
575.0,,,,,,
507.0,,,,,,
1200.0,,,,,,
695.0,,,,,,
1200.0,,,,,,
4900.0,,,,,,
382.0,,,,,,
400.0,,,,,,
4600.0,,,,,,
2400.0,,,,,,
1600.0,,,,,,
1100.0,,,,,,
1300.0,,,,,,
819.0,,,,,,
585.0,,,,,,
536.0,,,,,,
834.0,,,,,,
645.0,,,,,,
598.0,,,,,,
217.0,,,,,,
3200.0,,,,,,
545.0,,,,,,
1800.0,,,,,,
1200.0,,,,,,
732.0,,,,,,
1200.0,,,,,,
2800.0,,,,,,
495.0,,,,,,
690.0,,,,,,
1300.0,,,,,,
552.0,,,,,,
631.0,,,,,,
4800.0,,,,,,
851.0,,,,,,
,755.0,,,,,
,468.0,,,,,
,4600.0,,,,,
,1300.0,,,,,
,1200.0,,,,,
,1100.0,,,,,
,1500.0,,,,,
,2400.0,,,,,
,1200.0,,,,,
,1700.0,,,,,
,1200.0,,,,,
,500.0,,,,,
,,455.0,,,,
,,1100.0,,,,
,,459.0,,,,
,,1400.0,,,,
,,6400.0,,,,
,,4800.0,,,,
,,695.0,,,,
,,341.0,,,,
,,1900.0,,,,
,,1200.0,,,,
,,450.0,,,,
,,663.0,,,,
,,302.0,,,,
,,971.0,,,,
,,1400.0,,,,
,,1000.0,,,,
,,1900.0,,,,
,,1100.0,,,,
,,1100.0,,,,
,,1500.0,,,,
,,2000.0,,,,
,,5700.0,,,,
,,7100.0,,,,
,,1200.0,,,,
,,705.0,,,,
,,1900.0,,,,
,,3800.0,,,,
,,2300.0,,,,
,,575.0,,,,
,,1800.0,,,,
,,1600.0,,,,
,,1900.0,,,,
,,5600.0,,,,
,,1500.0,,,,
,,9200.0,,,,
,,1700.0,,,,
,,6000.0,,,,
,,752.0,,,,
,,19400.0,,,,
,,1700.0,,,,
,,1600.0,,,,
,,788.0,,,,
,,454.0,,,,
,,1100.0,,,,
,,2800.0,,,,
,,1600.0,,,,
,,2000.0,,,,
,,412.0,,,,
,,1100.0,,,,
,,417.0,,,,
,,1600.0,,,,
,,2500.0,,,,
,,474.0,,,,
,,2100.0,,,,
,,513.0,,,,
,,10400.0,,,,
,,2200.0,,,,
,,5600.0,,,,
,,373.0,,,,
,,1000.0,,,,
,,3200.0,,,,
,,657.0,,,,
,,2100.0,,,,
,,727.0,,,,
,,350.0,,,,
,,1900.0,,,,
,,1200.0,,,,
,,2800.0,,,,
,,341.0,,,,
,,648.0,,,,
,,1300.0,,,,
,,1000.0,,,,
,,1300.0,,,,
,,1700.0,,,,
,,4600.0,,,,
,,2700.0,,,,
,,1700.0,,,,
,,450.0,,,,
,,939.0,,,,
,,1600.0,,,,
,,866.0,,,,
,,606.0,,,,
,,5000.0,,,,
,,11500.0,,,,
,,529.0,,,,
,,28000.0,,,,
,,1700.0,,,,
,,761.0,,,,
,,958.0,,,,
,,,904.0,,,
,,,1200.0,,,
,,,4500.0,,,
,,,1200.0,,,
,,,427.0,,,
,,,1300.0,,,
,,,3200.0,,,
,,,377.0,,,
,,,3400.0,,,
,,,972.0,,,
,,,979.0,,,
,,,737.0,,,
,,,3800.0,,,
,,,396.0,,,
,,,1700.0,,,
,,,676.0,,,
,,,2900.0,,,
,,,2500.0,,,
,,,1400.0,,,
,,,484.0,,,
,,,7500.0,,,
,,,441.0,,,
,,,922.0,,,
,,,473.0,,,
,,,3200.0,,,
,,,1600.0,,,
,,,1300.0,,,
,,,1300.0,,,
,,,5600.0,,,
,,,8100.0,,,
,,,5500.0,,,
,,,3800.0,,,
,,,933.0,,,
,,,2500.0,,,
,,,1700.0,,,
,,,2400.0,,,
,,,11400.0,,,
,,,308.0,,,
,,,1400.0,,,
,,,762.0,,,
,,,1200.0,,,
,,,657.0,,,
,,,1200.0,,,
,,,11800.0,,,
,,,2400.0,,,
,,,794.0,,,
,,,1500.0,,,
,,,1300.0,,,
,,,1200.0,,,
,,,1900.0,,,
,,,1500.0,,,
,,,698.0,,,
,,,1100.0,,,
,,,742.0,,,
,,,2000.0,,,
,,,1000.0,,,
,,,1500.0,,,
,,,1200.0,,,
,,,751.0,,,
,,,775.0,,,
,,,569.0,,,
,,,3000.0,,,
,,,1500.0,,,
,,,1100.0,,,
,,,979.0,,,
,,,802.0,,,
,,,2300.0,,,
,,,835.0,,,
,,,2000.0,,,
,,,12000.0,,,
,,,423.0,,,
,,,1000.0,,,
,,,1600.0,,,
,,,1400.0,,,
,,,2400.0,,,
,,,1200.0,,,
,,,1500.0,,,
,,,1400.0,,,
,,,1000.0,,,
,,,400.0,,,
,,,,1700.0,,
,,,,3200.0,,
,,,,1100.0,,
,,,,4400.0,,
,,,,1400.0,,
,,,,924.0,,
,,,,1900.0,,
,,,,1300.0,,
,,,,1300.0,,
,,,,1800.0,,
,,,,37400.0,,
,,,,18000.0,,
,,,,2500.0,,
,,,,18200.0,,
,,,,924.0,,
,,,,730.0,,
,,,,3500.0,,
,,,,1900.0,,
,,,,614.0,,
,,,,2900.0,,
,,,,1600.0,,
,,,,1100.0,,
,,,,1100.0,,
,,,,2200.0,,
,,,,582.0,,
,,,,1000.0,,
,,,,1700.0,,
,,,,720.0,,
,,,,19800.0,,
,,,,1500.0,,
,,,,3000.0,,
,,,,2500.0,,
,,,,4400.0,,
,,,,1400.0,,
,,,,1600.0,,
,,,,2100.0,,
,,,,1100.0,,
,,,,2100.0,,
,,,,840.0,,
,,,,1100.0,,
,,,,1600.0,,
,,,,2100.0,,
,,,,2200.0,,
,,,,9000.0,,
,,,,622.0,,
,,,,1000.0,,
,,,,658.0,,
,,,,1400.0,,
,,,,1500.0,,
,,,,2300.0,,
,,,,5200.0,,
,,,,,5300.0,
,,,,,1600.0,
,,,,,6300.0,
,,,,,2000.0,
,,,,,2300.0,
,,,,,1900.0,
,,,,,1700.0,
,,,,,1600.0,
,,,,,1400.0,
,,,,,2100.0,
,,,,,3400.0,
,,,,,1000.0,
,,,,,1800.0,
,,,,,25200.0,
,,,,,15700.0,
,,,,,1700.0,
,,,,,2700.0,
