,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
1,60795800,,,,Jon Turteltaub,,,,3 Ninjas,3 Ninjas,29000301,,1992-08-07 00:00:00,85,PG,Family Adventure
2,24557400,,,,,,,,3 Ninjas,3 Ninjas Kick Back,11798854,,1994-05-06 00:00:00,94,PG,Family Adventure
3,827000,,,,,,,,3 Ninjas,3 Ninjas Knuckle Up,413479,,1995-03-10 00:00:00,87,PG-13,Unknown
4,697100,,,,Sean McNamara,Sean McNamara,,,3 Ninjas,3 Ninjas: High Noon at Mega Mountain,375805,,1998-04-10 00:00:00,93,PG,Unknown
7,27979700,,35000000,"['Tyler Perry', 'Matthew Fox', 'Jean Reno', 'Edward Burns', 'Rachel Nichols', 'John C. McGinley', 'Cicely Tyson']",Rob Cohen,,,John Debney,Alex Cross,Alex Cross,25888412,,2012-10-19 00:00:00,101,PG-13,Crime Thriller
5,113865700,,60000000,"['Morgan Freeman', 'Billy Burke']",Lee Tamahori,Marc Moss,,Jerry Goldsmith,Alex Cross,Along Came a Spider,74078174,,2001-04-06 00:00:00,103,R,Thriller
6,114726000,,27000000,"['Morgan Freeman', 'Ashley Judd', 'Cary Elwes', 'Brian Cox']",,,,Mark Isham,Alex Cross,Kiss the Girls,60527873,,1997-10-03 00:00:00,117,R,Thriller
11,273633700,276500400,11000000,"['Ian Holm', 'Sigourney Weaver']",Ridley Scott,,,Jerry Goldsmith,Alien,Alien,78944891,80931801,1979-05-25 00:00:00,117,R,Sci-Fi Horror
12,116293900,,50000000,"['Sigourney Weaver', 'Lance Henriksen']",David Fincher,,,Elliot Goldenthal,Alien,Alien 3,55473545,,1992-05-22 00:00:00,114,R,Sci-Fi Horror
13,90593100,,75000000,"['Sigourney Weaver', 'Winona Ryder']",Jean-Pierre Jeunet,Joss Whedon,,John Frizzell,Alien,Alien Resurrection,47795658,,1997-11-26 00:00:00,109,R,Sci-Fi Horror
10,112472700,,60000000,"['Ewen Bremner', 'Sanaa Lathan', 'Lance Henriksen']",Paul W.S. Anderson,Paul W.S. Anderson,,Harald Kloser,Alien,Alien Vs. Predator,80282231,,2004-08-13 00:00:00,87,PG-13,Sci-Fi Horror
15,,,,"['Michael Fassbender', 'Katherine Waterston', 'Demian Birchir', 'Danny McBride']",Ridley Scott,,,,Alien,Alien: Covenant,,,2017-08-04 00:00:00,,Unknown,Sci-Fi
9,199701900,,,"['Sigourney Weaver', 'Michael Biehn', 'Lance Henriksen', 'Bill Paxton']",James Cameron,James Cameron,,James Horner,Alien,Aliens,85160248,,1986-07-18 00:00:00,137,R,Sci-Fi Horror
14,51534700,,,,,,John Davis,Brian Tyler,Alien,Aliens Vs. Predator - Requiem,41797066,,2007-12-25 00:00:00,86,R,Sci-Fi Horror
