Monday,Tuesday,Wednesday,Thursday,Friday,Weekend
969.0,875.0,1500.0,828.0,969.0,969.0
2100.0,1100.0,974.0,883.0,2100.0,2100.0
462.0,7800.0,2900.0,689.0,462.0,462.0
1300.0,1200.0,8300.0,1100.0,1300.0,1300.0
759.0,802.0,1200.0,594.0,759.0,759.0
533.0,7200.0,2000.0,1100.0,533.0,533.0
2100.0,626.0,910.0,899.0,2100.0,2100.0
6800.0,6500.0,1600.0,2100.0,6800.0,6800.0
519.0,3700.0,1900.0,1200.0,519.0,519.0
11800.0,755.0,1500.0,901.0,11800.0,11800.0
1200.0,835.0,740.0,1400.0,1200.0,1200.0
3900.0,5500.0,733.0,1100.0,3900.0,3900.0
652.0,1100.0,9500.0,618.0,652.0,652.0
925.0,9200.0,25900.0,1400.0,925.0,925.0
2100.0,1700.0,1700.0,3600.0,2100.0,2100.0
1500.0,1100.0,1700.0,4400.0,1500.0,1500.0
1300.0,961.0,783.0,3100.0,1300.0,1300.0
1300.0,880.0,973.0,1000.0,1300.0,1300.0
4000.0,7900.0,3200.0,1300.0,4000.0,4000.0
827.0,713.0,8200.0,2000.0,827.0,827.0
644.0,1100.0,752.0,1500.0,644.0,644.0
548.0,1100.0,1100.0,1100.0,548.0,548.0
2200.0,2600.0,1200.0,4500.0,2200.0,2200.0
3600.0,534.0,2700.0,786.0,3600.0,3600.0
3000.0,2300.0,2000.0,5500.0,3000.0,3000.0
1600.0,2800.0,1200.0,562.0,1600.0,1600.0
1000.0,1700.0,1600.0,1200.0,1000.0,1000.0
11000.0,1300.0,899.0,1300.0,11000.0,11000.0
4400.0,2100.0,2800.0,2300.0,4400.0,4400.0
1400.0,888.0,2400.0,1900.0,1400.0,1400.0
1500.0,900.0,492.0,1300.0,1500.0,1500.0
3300.0,1100.0,1000.0,7200.0,3300.0,3300.0
3100.0,537.0,13100.0,833.0,3100.0,3100.0
41800.0,2000.0,2500.0,2600.0,41800.0,41800.0
3300.0,1800.0,2200.0,1700.0,3300.0,3300.0
679.0,1500.0,830.0,6200.0,679.0,679.0
1600.0,3500.0,1100.0,1000.0,1600.0,1600.0
4200.0,1400.0,109100.0,2000.0,4200.0,4200.0
848.0,26600.0,680.0,5100.0,848.0,848.0
2500.0,9400.0,1500.0,3900.0,2500.0,2500.0
893.0,505.0,1900.0,810.0,893.0,893.0
1300.0,1200.0,995.0,3500.0,1300.0,1300.0
3000.0,1000.0,1400.0,12900.0,3000.0,3000.0
1100.0,1400.0,911.0,1700.0,1100.0,1100.0
9500.0,802.0,5700.0,673.0,9500.0,9500.0
1400.0,4100.0,806.0,2500.0,1400.0,1400.0
2000.0,1400.0,985.0,1400.0,2000.0,2000.0
901.0,1300.0,633.0,1700.0,901.0,901.0
429.0,837.0,1100.0,3100.0,429.0,429.0
1500.0,3100.0,4900.0,1200.0,1500.0,1500.0
777.0,837.0,1200.0,1400.0,777.0,777.0
1400.0,775.0,2200.0,380.0,1400.0,1400.0
2800.0,2000.0,1000.0,878.0,2800.0,2800.0
939.0,2900.0,1000.0,31300.0,939.0,939.0
986.0,1800.0,1000.0,48000.0,986.0,986.0
1100.0,2000.0,806.0,9200.0,1100.0,1100.0
53100.0,1700.0,3400.0,1300.0,53100.0,53100.0
842.0,701.0,1400.0,1900.0,842.0,842.0
160.0,1200.0,5400.0,1300.0,160.0,160.0
6000.0,1100.0,1800.0,754.0,6000.0,6000.0
829.0,831.0,1500.0,585.0,829.0,829.0
796.0,1500.0,679.0,2900.0,796.0,796.0
923.0,1600.0,832.0,2400.0,923.0,923.0
720.0,761.0,450.0,986.0,720.0,720.0
586.0,1700.0,816.0,138.0,586.0,586.0
1400.0,1800.0,713.0,2800.0,1400.0,1400.0
2400.0,538.0,1800.0,2300.0,2400.0,2400.0
1300.0,2500.0,2200.0,3100.0,1300.0,1300.0
5200.0,1700.0,1500.0,1400.0,5200.0,5200.0
221.0,2900.0,720.0,654.0,221.0,221.0
14000.0,2400.0,1100.0,2800.0,14000.0,14000.0
4100.0,1400.0,1600.0,4400.0,4100.0,4100.0
1800.0,1500.0,1700.0,1300.0,1800.0,1800.0
1100.0,1100.0,652.0,1400.0,1100.0,1100.0
672.0,14500.0,674.0,361.0,672.0,672.0
18000.0,761.0,1000.0,1600.0,18000.0,18000.0
3100.0,8600.0,1500.0,3100.0,3100.0,3100.0
3500.0,887.0,1600.0,1200.0,3500.0,3500.0
13600.0,853.0,1000.0,4400.0,13600.0,13600.0
17800.0,1800.0,1600.0,305.0,17800.0,17800.0
438.0,1500.0,1300.0,1400.0,438.0,438.0
1800.0,2500.0,5000.0,871.0,1800.0,1800.0
997.0,2800.0,9800.0,12300.0,997.0,997.0
2700.0,906.0,9500.0,29600.0,2700.0,2700.0
910.0,1600.0,895.0,2500.0,910.0,910.0
985.0,10100.0,2100.0,2100.0,985.0,985.0
877.0,664.0,11800.0,759.0,877.0,877.0
1100.0,772.0,5200.0,1600.0,1100.0,1100.0
706.0,686.0,811.0,2000.0,706.0,706.0
1800.0,1100.0,743.0,1100.0,1800.0,1800.0
730.0,773.0,1800.0,966.0,730.0,730.0
590.0,6300.0,1700.0,1600.0,590.0,590.0
859.0,2600.0,1400.0,3400.0,859.0,859.0
6800.0,6500.0,1800.0,2300.0,6800.0,6800.0
580.0,1700.0,178.0,3700.0,580.0,580.0
1200.0,8200.0,1100.0,1500.0,1200.0,1200.0
5000.0,541.0,2400.0,860.0,5000.0,5000.0
865.0,1700.0,6200.0,2400.0,865.0,865.0
1200.0,747.0,657.0,1100.0,1200.0,1200.0
8700.0,819.0,1200.0,957.0,8700.0,8700.0
2100.0,610.0,1500.0,18900.0,2100.0,2100.0
912.0,13000.0,878.0,1000.0,912.0,912.0
1100.0,1100.0,1300.0,800.0,1100.0,1100.0
1000.0,983.0,1100.0,1100.0,1000.0,1000.0
3100.0,974.0,712.0,2800.0,3100.0,3100.0
5300.0,1100.0,633.0,1100.0,5300.0,5300.0
1500.0,737.0,3300.0,1500.0,1500.0,1500.0
997.0,6400.0,1800.0,2000.0,997.0,997.0
3100.0,1100.0,417.0,1100.0,3100.0,3100.0
2400.0,552.0,504.0,1200.0,2400.0,2400.0
2000.0,497.0,1200.0,885.0,2000.0,2000.0
681.0,1300.0,1500.0,1100.0,681.0,681.0
870.0,6100.0,748.0,517.0,870.0,870.0
965.0,7600.0,181.0,627.0,965.0,965.0
1100.0,854.0,6500.0,1100.0,1100.0,1100.0
2600.0,930.0,1600.0,1200.0,2600.0,2600.0
1000.0,12500.0,719.0,2300.0,1000.0,1000.0
144.0,1200.0,1600.0,1200.0,144.0,144.0
6000.0,3100.0,40000.0,770.0,6000.0,6000.0
960.0,1200.0,1200.0,764.0,960.0,960.0
973.0,5600.0,2700.0,1300.0,973.0,973.0
930.0,823.0,6600.0,527.0,930.0,930.0
3900.0,1100.0,1300.0,2000.0,3900.0,3900.0
1400.0,925.0,6900.0,967.0,1400.0,1400.0
1600.0,1500.0,1400.0,4600.0,1600.0,1600.0
1100.0,666.0,4100.0,3500.0,1100.0,1100.0
952.0,6100.0,629.0,853.0,952.0,952.0
16000.0,8000.0,889.0,675.0,16000.0,16000.0
1600.0,1200.0,1800.0,2100.0,1600.0,1600.0
34600.0,729.0,1200.0,698.0,34600.0,34600.0
775.0,9100.0,8400.0,719.0,775.0,775.0
800.0,47.0,1400.0,1400.0,800.0,800.0
452.0,4600.0,6400.0,1300.0,452.0,452.0
788.0,2200.0,1800.0,1100.0,788.0,788.0
653.0,832.0,530.0,1200.0,653.0,653.0
952.0,17000.0,511.0,843.0,952.0,952.0
1600.0,794.0,2400.0,1400.0,1600.0,1600.0
690400.0,889.0,5200.0,4700.0,690400.0,690400.0
1500.0,4000.0,2300.0,1800.0,1500.0,1500.0
733.0,900.0,2600.0,2000.0,733.0,733.0
4000.0,1100.0,1200.0,1200.0,4000.0,4000.0
2100.0,1400.0,7000.0,2000.0,2100.0,2100.0
1600.0,1600.0,1100.0,2500.0,1600.0,1600.0
2600.0,3100.0,1300.0,14700.0,2600.0,2600.0
2000.0,1200.0,736.0,709.0,2000.0,2000.0
601.0,883.0,1500.0,1000.0,601.0,601.0
832.0,2400.0,1200.0,1200.0,832.0,832.0
1200.0,1300.0,32299.0,1400.0,1200.0,1200.0
1900.0,1000.0,3100.0,765.0,1900.0,1900.0
1300.0,857.0,1600.0,974.0,1300.0,1300.0
6200.0,2100.0,850.0,611.0,6200.0,6200.0
4200.0,4100.0,566.0,1600.0,4200.0,4200.0
747.0,8100.0,1200.0,1900.0,747.0,747.0
2400.0,527.0,8600.0,967.0,2400.0,2400.0
821.0,1200.0,969.0,964.0,821.0,821.0
2400.0,671.0,1300.0,788.0,2400.0,2400.0
776.0,1700.0,2300.0,1400.0,776.0,776.0
1000.0,944.0,448.0,922.0,1000.0,1000.0
924.0,958.0,33400.0,2100.0,924.0,924.0
1200.0,779.0,5300.0,632.0,1200.0,1200.0
1900.0,1500.0,587.0,829.0,1900.0,1900.0
800.0,2300.0,1600.0,10400.0,800.0,800.0
1500.0,1300.0,5000.0,4300.0,1500.0,1500.0
3400.0,1500.0,691.0,1700.0,3400.0,3400.0
4900.0,1200.0,1600.0,4600.0,4900.0,4900.0
987.0,6600.0,3600.0,4600.0,987.0,987.0
673.0,4600.0,5800.0,2600.0,673.0,673.0
2800.0,2700.0,1500.0,8000.0,2800.0,2800.0
1600.0,1000.0,4000.0,173.0,1600.0,1600.0
1500.0,5200.0,725.0,718.0,1500.0,1500.0
1800.0,1100.0,2000.0,1100.0,1800.0,1800.0
1000.0,646.0,693.0,605.0,1000.0,1000.0
504.0,772.0,32000.0,942.0,504.0,504.0
541.0,8700.0,1200.0,2700.0,541.0,541.0
1100.0,4600.0,3200.0,2500.0,1100.0,1100.0
1000.0,1700.0,350.0,737.0,1000.0,1000.0
975.0,1300.0,445.0,1400.0,975.0,975.0
1600.0,2400.0,682.0,1400.0,1600.0,1600.0
1100.0,8000.0,703.0,1400.0,1100.0,1100.0
566.0,760.0,863.0,776.0,566.0,566.0
1100.0,1000.0,6300.0,1300.0,1100.0,1100.0
4100.0,1400.0,5600.0,953.0,4100.0,4100.0
1200.0,1000.0,657.0,4300.0,1200.0,1200.0
787.0,4000.0,12700.0,1200.0,787.0,787.0
1800.0,815.0,3700.0,950.0,1800.0,1800.0
1300.0,890.0,883.0,1000.0,1300.0,1300.0
2000.0,4400.0,1100.0,1100.0,2000.0,2000.0
990.0,1000.0,4700.0,1800.0,990.0,990.0
2900.0,3100.0,1000.0,9000.0,2900.0,2900.0
3600.0,1500.0,1300.0,2800.0,3600.0,3600.0
1400.0,1100.0,1700.0,424.0,1400.0,1400.0
618.0,4900.0,995.0,2800.0,618.0,618.0
1700.0,12900.0,742.0,821.0,1700.0,1700.0
944.0,9100.0,987.0,628.0,944.0,944.0
2000.0,738.0,2400.0,637.0,2000.0,2000.0
7300.0,946.0,865.0,31700.0,7300.0,7300.0
1200.0,753.0,516.0,3300.0,1200.0,1200.0
7600.0,16700.0,2200.0,3600.0,7600.0,7600.0
12200.0,1400.0,1400.0,902.0,12200.0,12200.0
817.0,1400.0,1700.0,588.0,817.0,817.0
1700.0,2800.0,5500.0,390.0,1700.0,1700.0
4100.0,4600.0,1400.0,628.0,4100.0,4100.0
2700.0,4400.0,3800.0,790.0,2700.0,2700.0
3100.0,13700.0,2700.0,944.0,3100.0,3100.0
1100.0,1100.0,1700.0,1300.0,1100.0,1100.0
2500.0,5000.0,2300.0,1100.0,2500.0,2500.0
6200.0,1200.0,1200.0,1200.0,6200.0,6200.0
1700.0,9400.0,732.0,1900.0,1700.0,1700.0
7200.0,7400.0,1000.0,1900.0,7200.0,7200.0
827.0,1800.0,10200.0,390.0,827.0,827.0
3400.0,893.0,1100.0,1100.0,3400.0,3400.0
808.0,1300.0,1100.0,1800.0,808.0,808.0
1500.0,2400.0,1700.0,1100.0,1500.0,1500.0
1200.0,1200.0,7600.0,12000.0,1200.0,1200.0
1400.0,2700.0,1500.0,827.0,1400.0,1400.0
946.0,1600.0,2600.0,3600.0,946.0,946.0
2700.0,5900.0,3000.0,2800.0,2700.0,2700.0
1400.0,1800.0,5700.0,2200.0,1400.0,1400.0
606.0,981.0,1600.0,2100.0,606.0,606.0
1500.0,1800.0,23300.0,2200.0,1500.0,1500.0
992.0,5300.0,1000.0,1300.0,992.0,992.0
988.0,1500.0,2600.0,720.0,988.0,988.0
1300.0,823.0,1200.0,713.0,1300.0,1300.0
1100.0,2000.0,2400.0,25000.0,1100.0,1100.0
2700.0,1300.0,1100.0,1400.0,2700.0,2700.0
1200.0,1400.0,900.0,16900.0,1200.0,1200.0
1800.0,701.0,752.0,1200.0,1800.0,1800.0
1100.0,8600.0,735.0,2600.0,1100.0,1100.0
1500.0,675.0,585.0,3500.0,1500.0,1500.0
1300.0,793.0,4100.0,659.0,1300.0,1300.0
5000.0,1700.0,1100.0,858.0,5000.0,5000.0
1200.0,5800.0,1400.0,2000.0,1200.0,1200.0
1000.0,4400.0,682.0,1800.0,1000.0,1000.0
1000.0,2200.0,1300.0,1800.0,1000.0,1000.0
11200.0,2000.0,913.0,1300.0,11200.0,11200.0
4600.0,797.0,772.0,522.0,4600.0,4600.0
930.0,20400.0,1100.0,1500.0,930.0,930.0
3100.0,257.0,1100.0,835.0,3100.0,3100.0
462.0,1300.0,786.0,4600.0,462.0,462.0
5300.0,1400.0,1500.0,1100.0,5300.0,5300.0
4600.0,655.0,1200.0,1000.0,4600.0,4600.0
707.0,2400.0,1600.0,897.0,707.0,707.0
5400.0,12100.0,3000.0,1000.0,5400.0,5400.0
1200.0,6800.0,1400.0,8900.0,1200.0,1200.0
712.0,5300.0,1200.0,6100.0,712.0,712.0
716.0,1400.0,623.0,2800.0,716.0,716.0
2900.0,5200.0,753.0,977.0,2900.0,2900.0
1200.0,1000.0,2500.0,4100.0,1200.0,1200.0
1000.0,3900.0,2200.0,2400.0,1000.0,1000.0
2300.0,746.0,826.0,2300.0,2300.0,2300.0
1400.0,2300.0,750.0,750.0,1400.0,1400.0
784.0,727.0,718.0,24500.0,784.0,784.0
1400.0,3400.0,699.0,2200.0,1400.0,1400.0
22800.0,1900.0,1100.0,2500.0,22800.0,22800.0
1600.0,2200.0,1100.0,656.0,1600.0,1600.0
945.0,1800.0,2100.0,493.0,945.0,945.0
9300.0,658.0,954.0,1300.0,9300.0,9300.0
1200.0,557.0,2000.0,2600.0,1200.0,1200.0
1200.0,2900.0,673.0,983.0,1200.0,1200.0
6000.0,863.0,4000.0,6500.0,6000.0,6000.0
2000.0,911.0,468.0,963.0,2000.0,2000.0
3000.0,1600.0,666.0,17100.0,3000.0,3000.0
875.0,1000.0,2300.0,653.0,875.0,875.0
3800.0,2500.0,1400.0,1500.0,3800.0,3800.0
1500.0,613.0,812.0,986.0,1500.0,1500.0
7800.0,1100.0,579.0,1800.0,7800.0,7800.0
624.0,1200.0,3000.0,12500.0,624.0,624.0
716.0,2200.0,730.0,1100.0,716.0,716.0
986.0,7800.0,2400.0,1300.0,986.0,986.0
2500.0,2100.0,1100.0,769.0,2500.0,2500.0
7600.0,4500.0,4500.0,1700.0,7600.0,7600.0
11300.0,63300.0,1200.0,2300.0,11300.0,11300.0
2100.0,655.0,972.0,790.0,2100.0,2100.0
1100.0,1000.0,777.0,3900.0,1100.0,1100.0
1700.0,1400.0,1100.0,630.0,1700.0,1700.0
1200.0,1500.0,1000.0,3200.0,1200.0,1200.0
10300.0,1500.0,737.0,653.0,10300.0,10300.0
748.0,3300.0,1100.0,633.0,748.0,748.0
3000.0,2500.0,6000.0,3100.0,3000.0,3000.0
3200.0,7300.0,756.0,3300.0,3200.0,3200.0
2700.0,1400.0,1800.0,1600.0,2700.0,2700.0
1200.0,1300.0,2700.0,515.0,1200.0,1200.0
9300.0,1200.0,956.0,2800.0,9300.0,9300.0
1700.0,1800.0,785.0,5400.0,1700.0,1700.0
5200.0,939.0,1000.0,13200.0,5200.0,5200.0
942.0,562.0,919.0,2800.0,942.0,942.0
1300.0,822.0,1200.0,1200.0,1300.0,1300.0
1400.0,349.0,1400.0,988.0,1400.0,1400.0
1100.0,853.0,778.0,2100.0,1100.0,1100.0
