date,speaker,url,party,state,topic
2015-01-06,McCONNELL,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S8-5,R,KY,unknown
2015-01-06,DURBIN,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S9-2,D,IL,unknown
2015-01-06,DURBIN,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S9-3,D,IL,drones
2015-01-06,DURBIN,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S9-3,D,IL,drones
2015-01-06,HATCH,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S9-4,R,UT,unknown
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,MURPHY,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S10-5,D,CT,military defense
2015-01-06,COLLINS,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S12-2,R,ME,education
2015-01-06,COLLINS,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S12-2,R,ME,education
2015-01-06,COLLINS,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S12-2,R,ME,education
2015-01-06,COLLINS,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S12-2,R,ME,education
2015-01-06,KING,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S21-6,I,ME,Veterans benefits
2015-01-06,KING,http://www.congress.gov/congressional-record/2015/01/06/senate-section/article/S21-6,I,ME,Veterans benefits
