date,speaker,topic,party,state
2015-01-06,McCONNELL,Nominations,R,KY
2015-01-06,DURBIN,International Relations,D,IL
2015-01-06,HATCH,Healthcare,R,UT
2015-01-06,MURPHY,Healthcare,D,CT
2015-01-06,MURPHY,Healthcare,D,CT
2015-01-06,MURPHY,Healthcare,D,CT
2015-01-06,MURPHY,Healthcare,D,CT
2015-01-06,MURPHY,Healthcare,D,CT
2015-01-06,McCONNELL,Healthcare,R,KY
2015-01-06,UDALL,International Relations,D,NM
2015-01-06,MERKLEY,Civil Rights,D,OR
2015-01-06,MERKLEY,Civil Rights,D,OR
2015-01-07,McCONNELL,International Relations,R,KY
2015-01-07,DURBIN,Nominations,D,IL
2015-01-07,DURBIN,International Relations,D,IL
2015-01-07,DURBIN,International Relations,D,IL
2015-01-07,DURBIN,Infrastructure,D,IL
2015-01-07,DURBIN,Infrastructure,D,IL
2015-01-07,DURBIN,Infrastructure,D,IL
2015-01-07,SANDERS,Nominations,I,VT
2015-01-07,SANDERS,Nominations,I,VT
2015-01-07,CORNYN,International Relations,R,TX
2015-01-07,WHITEHOUSE,Climate Change,D,RI
2015-01-07,DAINES,Mental Health,R,MT
2015-01-07,DAINES,Mental Health,R,MT
2015-01-07,DAINES,Mental Health,R,MT
2015-01-07,DAINES,Mental Health,R,MT
2015-01-07,DAINES,Mental Health,R,MT
2015-01-07,DAINES,Mental Health,R,MT
2015-01-07,DAINES,Mental Health,R,MT
2015-01-07,DAINES,Mental Health,R,MT
2015-01-07,DAINES,Mental Health,R,MT
2015-01-07,DAINES,Mental Health,R,MT
2015-01-07,DAINES,Mental Health,R,MT
2015-01-07,BROWN,Mental Health,D,OH
2015-01-07,BROWN,Healthcare,D,OH
2015-01-07,BROWN,Healthcare,D,OH
2015-01-07,CASEY,Infrastructure,not found,not found
2015-01-07,CASEY,Infrastructure,not found,not found
2015-01-07,CASEY,Infrastructure,not found,not found
2015-01-07,SCOTT,Nominations,R,SC
2015-01-07,GILLIBRAND,Healthcare,D,NY
2015-01-07,KING,Healthcare,I,ME
2015-01-07,BOOKER,Climate Change,D,NJ
2015-01-07,BOOKER,Climate Change,D,NJ
2015-01-07,BOOKER,Climate Change,D,NJ
2015-01-07,BOOKER,Climate Change,D,NJ
2015-01-07,BOOKER,Climate Change,D,NJ
2015-01-07,BOOKER,Climate Change,D,NJ
2015-01-07,BOOKER,Climate Change,D,NJ
2015-01-07,DURBIN,Healthcare,D,IL
2015-01-07,VITTER,International Relations,R,LA
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,FISCHER,International Relations,R,NE
2015-01-08,LEAHY,Healthcare,D,VT
2015-01-08,COCHRAN,Healthcare,R,MS
2015-01-08,BLUMENTHAL,Healthcare,D,CT
2015-01-08,COCHRAN,Healthcare,R,MS
2015-01-08,HELLER,Nominations,R,NV
2015-01-08,CARDIN,Healthcare,D,MD
2015-01-08,WARREN,Criminal Justice,D,MA
2015-01-08,ERNST,Healthcare,R,IA
2015-01-08,ERNST,Healthcare,R,IA
2015-01-08,ERNST,Healthcare,R,IA
2015-01-08,ERNST,Healthcare,R,IA
2015-01-09,VITTER,Healthcare,R,LA
2015-01-09,SHAHEEN,Nominations,D,NH
2015-01-12,McCONNELL,International Relations,R,KY
2015-01-12,DURBIN,International Relations,D,IL
2015-01-12,DURBIN,Mental Health,D,IL
2015-01-12,KAINE,Trade,D,VA
2015-01-12,KAINE,Trade,D,VA
2015-01-12,KAINE,Trade,D,VA
2015-01-12,KAINE,Trade,D,VA
2015-01-12,KAINE,Trade,D,VA
