title,party,state
Robert Byrd,D,WV
Ted Kennedy,D,MA
Daniel Inouye,D,HI
Ted Stevens,R,AK
Pete Domenici,R,NM
Joe Biden,D,DE
Patrick Leahy,D,VT
Paul Sarbanes,D,MD
Richard Lugar,R,IN
Orrin Hatch,R,UT
Max Baucus,D,MT
Thad Cochran,R,MS
John Warner,R,VA
Carl Levin,D,MI
Chris Dodd,D,CT
Chuck Grassley,R,IA
Arlen Specter,R,PA
Jeff Bingaman,D,NM
John Kerry,D,MA
Tom Harkin,D,IA
Mitch McConnell,R,KY
Jay Rockefeller,D,WV
Barbara Mikulski,D,MD
Richard Shelby,R,AL
John McCain,R,AZ
Harry Reid,D,NV
Kit Bond,R,MO
Kent Conrad,D,ND
Trent Lott,R,MS
Jim Jeffords,I,VT
Herb Kohl,D,WI
Joe Lieberman,D,CT
Conrad Burns,R,MT
Daniel Akaka,D,HI
Larry Craig,R,ID
Dianne Feinstein,D,CA
Byron Dorgan,D,ND
Barbara Boxer,D,CA
Judd Gregg,R,NH
Russ Feingold,D,WI
Patty Murray,D,WA
Bob Bennett,R,UT
Kay Bailey Hutchison,R,TX
Jim Inhofe,R,OK
Olympia Snowe,R,ME
Mike DeWine,R,OH
Jon Kyl,R,AZ
Craig Thomas,R,WY
Rick Santorum,R,PA
Bill Frist,R,TN
Ron Wyden,D,OR
Sam Brownback,R,KS
Pat Roberts,R,KS
Richard Durbin,D,IL
Tim Johnson,D,SD
Wayne Allard,R,CO
Jack Reed,D,RI
Mary Landrieu,D,LA
Jeff Sessions,R,AL
Gordon Smith,R,OR
Chuck Hagel,R,NE
Susan Collins,R,ME
Mike Enzi,R,WY
Chuck Schumer,D,NY
Jim Bunning,R,KY
Mike Crapo,R,ID
Blanche Lincoln,D,AR
George Voinovich,R,OH
Evan Bayh,D,IN
Lincoln Chafee,R,RI
Bill Nelson,D,FL
Tom Carper,D,DE
Debbie Stabenow,D,MI
John Ensign,R,NV
George Allen,R,VA
Maria Cantwell,D,WA
Ben Nelson,D,NE
Hillary Clinton,D,NY
Jon Corzine,D,NJ
Mark Dayton,D,MN
Jim Talent,R,MO
John Cornyn,R,TX
Lisa Murkowski,R,AK
Frank Lautenberg,D,NJ
Saxby Chambliss,R,GA
Lindsey Graham,R,SC
John Sununu,R,NH
Lamar Alexander,R,TN
Elizabeth Dole,R,NC
Norm Coleman,R,MN
Mark Pryor,D,AR
Richard Burr,R,NC
Jim DeMint,R,SC
Tom Coburn,R,OK
John Thune,R,SD
Johnny Isakson,R,GA
David Vitter,R,LA
Mel Martinez,R,FL
Barack Obama,D,IL
Ken Salazar,D,CO
Bob Menendez,D,NJ
