party,state,phone,twitter_id,facebook_id,oc_email,fullname
R,TN,202-224-4944,SenAlexander,89927603836,Sen.Alexander@opencongress.org,Lamar Alexander
R,NH,202-224-3324,,123436097729198,Sen.Ayotte@opencongress.org,Kelly Ayotte
R,MO,202-224-5721,RoyBlunt,142473042477322,Sen.Blunt@opencongress.org,Roy Blunt
D,CA,202-224-3553,SenatorBoxer,116513005087055,Sen.Boxer@opencongress.org,Barbara Boxer
D,OH,202-224-2315,SenSherrodBrown,,Sen.Brown@opencongress.org,Sherrod Brown
R,NC,202-224-3154,SenatorBurr,132653626787856,Sen.Burr@opencongress.org,Richard Burr
D,WI,202-224-5653,SenatorBaldwin,7357041101,Sen.Baldwin@opencongress.org,Tammy Baldwin
R,AR,202-224-4843,JohnBoozman,7686715735,Sen.Boozman@opencongress.org,John Boozman
R,WY,202-224-6441,SenJohnBarrasso,21146775942,Sen.Barrasso@opencongress.org,John Barrasso
D,CO,202-224-5852,SenBennetCo,97172997732,Sen.Bennet@opencongress.org,Michael Bennet
D,CT,202-224-2823,SenBlumenthal,289987304364966,Sen.Blumenthal@opencongress.org,Richard Blumenthal
D,NJ,202-224-3224,CoryBooker,,Sen.Booker@opencongress.org,Cory Booker
D,WA,202-224-3441,SenatorCantwell,,Sen.Cantwell@opencongress.org,Maria Cantwell
D,MD,202-224-4524,SenatorCardin,120421834675191,Sen.Cardin@opencongress.org,Benjamin Cardin
D,DE,202-224-2441,SenatorCarper,124891107521733,Sen.Carper@opencongress.org,Thomas Carper
R,IN,202-224-5623,SenDanCoats,180671148633644,Sen.Coats@opencongress.org,Daniel Coats
R,MS,202-224-5054,SenThadCochran,,Sen.Cochran@opencongress.org,Thad Cochran
R,ID,202-224-6142,MikeCrapo,80335332266,Sen.Crapo@opencongress.org,Michael Crapo
R,ME,202-224-2523,SenatorCollins,7593313361,Sen.Collins@opencongress.org,Susan Collins
R,WV,202-224-6472,SenCapito,8057864757,Sen.Capito@opencongress.org,Shelley Capito
R,TX,202-224-2934,JohnCornyn,75755694423,Sen.Cornyn@opencongress.org,John Cornyn
D,PA,202-224-6324,SenBobCasey,107749545944874,Sen.Casey@opencongress.org,Robert Casey Jr.
R,TN,202-224-3344,SenBobCorker,109251415789533,Sen.Corker@opencongress.org,Bob Corker
R,LA,202-224-5824,,,Sen.Cassidy@opencongress.org,Bill Cassidy
D,DE,202-224-5042,SenCoonsOffice,254950754518205,Sen.Coons@opencongress.org,Chris Coons
R,AR,202-224-2353,SenTomCotton,120355701459307,Sen.Cotton@opencongress.org,Tom Cotton
R,TX,202-224-5922,SenTedCruz,315496455229328,Sen.Cruz@opencongress.org,Ted Cruz
D,IL,202-224-2152,SenatorDurbin,180436795325335,Sen.Durbin@opencongress.org,Richard Durbin
D,IN,202-224-4814,SenDonnelly,168059529893610,Sen.Donnelly@opencongress.org,Joe Donnelly
R,MT,202-224-2651,SteveDaines,185361254941832,Sen.Daines@opencongress.org,Steve Daines
R,WY,202-224-3424,SenatorEnzi,23068049436,Sen.Enzi@opencongress.org,Michael Enzi
R,IA,202-224-3254,SenJoniErnst,351671691660938,Sen.Ernst@opencongress.org,Joni Ernst
D,CA,202-224-3841,SenFeinstein,334887279867783,Sen.Feinstein@opencongress.org,Dianne Feinstein
R,AZ,202-224-4521,JeffFlake,senatorjeffflake,Sen.Flake@opencongress.org,Jeff Flake
D,MN,202-224-5641,,,Sen.Franken@opencongress.org,Alan Franken
R,NE,202-224-6551,SenatorFischer,531623656856934,Sen.Fischer@opencongress.org,Deb Fischer
R,SC,202-224-5972,GrahamBlog,257937783228,Sen.Lgraham@opencongress.org,Lindsey Graham
R,IA,202-224-3744,ChuckGrassley,106480645796,Sen.Grassley@opencongress.org,Charles Grassley
D,NY,202-224-4451,SenGillibrand,KirstenGillibrand,Sen.Gillibrand@opencongress.org,Kirsten Gillibrand
R,CO,202-224-5941,SenCoryGardner,160924893954206,Sen.Gardner@opencongress.org,Cory Gardner
R,UT,202-224-5251,SenOrrinHatch,senatororrinhatch,Sen.Hatch@opencongress.org,Orrin Hatch
R,NV,202-224-6244,SenDeanHeller,325751330177,Sen.Heller@opencongress.org,Dean Heller
D,HI,202-224-6361,MazieHirono,senatorhirono,Sen.Hirono@opencongress.org,Mazie Hirono
D,NM,202-224-5521,MartinHeinrich,137523189213,Sen.Heinrich@opencongress.org,Martin Heinrich
R,ND,202-224-2551,SenJohnHoeven,194483057244478,Sen.Hoeven@opencongress.org,John Hoeven
D,ND,202-224-2043,SenatorHeitkamp,501810613175643,Sen.Heitkamp@opencongress.org,Heidi Heitkamp
R,OK,202-224-4721,InhofePress,55018309421,Sen.Inhofe@opencongress.org,James Inhofe
R,GA,202-224-3643,SenatorIsakson,,Sen.Isakson@opencongress.org,John Isakson
R,WI,202-224-5323,SenRonJohnson,186181661410703,Sen.Ronjohnson@opencongress.org,Ron Johnson
R,IL,202-224-2854,SenatorKirk,116381528428230,Sen.Kirk@opencongress.org,Mark Kirk
D,MN,202-224-3244,,,Sen.Klobuchar@opencongress.org,Amy Klobuchar
I,ME,202-224-5344,SenAngusKing,142803045874943,Sen.King@opencongress.org,Angus King
D,VA,202-224-4024,SenKaineOffice,482778861771212,Sen.Kaine@opencongress.org,Timothy Kaine
D,VT,202-224-4242,SenatorLeahy,178569152181267,Sen.Leahy@opencongress.org,Patrick Leahy
R,OK,202-224-5754,SenatorLankford,130873066975024,Sen.Lankford@opencongress.org,James Lankford
R,UT,202-224-5444,SenMikeLee,178081365556898,Sen.Lee@opencongress.org,Mike Lee
D,MA,202-224-2742,SenMarkey,6846731378,Sen.Markey@opencongress.org,Edward Markey
R,AZ,202-224-2235,SenJohnMcCain,6425923706,Sen.Mccain@opencongress.org,John McCain
R,KY,202-224-2541,McConnellPress,mitchmcconnell,Sen.Mcconnell@opencongress.org,Mitch McConnell
D,NJ,202-224-4744,SenatorMenendez,349744811357,Sen.Menendez@opencongress.org,Robert Menéndez
D,MD,202-224-4654,SenatorBarb,142890125771427,Sen.Mikulski@opencongress.org,Barbara Mikulski
R,KS,202-224-6521,JerryMoran,171578807105,Sen.Moran@opencongress.org,Jerry Moran
D,WA,202-224-2621,PattyMurray,,Sen.Murray@opencongress.org,Patty Murray
R,AK,202-224-6665,LisaMurkowski,25271170290,Sen.Murkowski@opencongress.org,Lisa Murkowski
D,CT,202-224-4041,ChrisMurphyCT,19437978960,Sen.Murphy@opencongress.org,Christopher Murphy
D,MO,202-224-6154,McCaskillOffice,131498087618,Sen.Mccaskill@opencongress.org,Claire McCaskill
D,OR,202-224-3753,SenJeffMerkley,74374931545,Sen.Merkley@opencongress.org,Jeff Merkley
D,WV,202-224-3954,Sen_JoeManchin,10150135395755161,Sen.Manchin@opencongress.org,Joe Manchin
D,FL,202-224-5274,SenBillNelson,,Sen.Billnelson@opencongress.org,Bill Nelson
R,OH,202-224-3353,SenRobPortman,45243961073,Sen.Portman@opencongress.org,Robert Portman
D,MI,202-224-6221,SenGaryPeters,88851604323,Sen.Peters@opencongress.org,Gary Peters
R,KY,202-224-4343,,161355253917286,Sen.Paul@opencongress.org,Rand Paul
R,GA,202-224-3521,sendavidperdue,SenatorDavidPerdue,Sen.Perdue@opencongress.org,David Perdue
D,RI,202-224-4642,SenJackReed,213866375370646,Sen.Reed@opencongress.org,John Reed
