date,speaker,topic,state,party,dummycount
2015-01-06,McCONNELL,Economy,KY,Republican,1
2015-01-06,DURBIN,Nominations,IL,Democrat,1
2015-01-06,HATCH,Healthcare,UT,Republican,1
2015-01-06,MURPHY,Amendments,CT,Democrat,1
2015-01-06,MURPHY,Amendments,CT,Democrat,1
2015-01-06,MURPHY,Amendments,CT,Democrat,1
2015-01-06,MURPHY,Amendments,CT,Democrat,1
2015-01-06,MURPHY,Amendments,CT,Democrat,1
2015-01-06,McCONNELL,Amendments,KY,Republican,1
2015-01-06,UDALL,Programs and Agencies,NM,Democrat,1
2015-01-06,MERKLEY,Nominations,OR,Democrat,1
2015-01-06,MERKLEY,Nominations,OR,Democrat,1
2015-01-07,McCONNELL,Healthcare,KY,Republican,1
2015-01-07,DURBIN,Nominations,IL,Democrat,1
2015-01-07,DURBIN,Healthcare,IL,Democrat,1
2015-01-07,DURBIN,Nuclear Agreements,IL,Democrat,1
2015-01-07,DURBIN,Nominations,IL,Democrat,1
2015-01-07,DURBIN,Nominations,IL,Democrat,1
2015-01-07,DURBIN,Nominations,IL,Democrat,1
2015-01-07,SANDERS,Healthcare,VT,Independent,1
2015-01-07,SANDERS,Healthcare,VT,Independent,1
2015-01-07,CORNYN,Energy,TX,Republican,1
2015-01-07,WHITEHOUSE,Energy,RI,Democrat,1
2015-01-07,DAINES,Energy,MT,Republican,1
2015-01-07,DAINES,Energy,MT,Republican,1
2015-01-07,DAINES,Energy,MT,Republican,1
2015-01-07,DAINES,Energy,MT,Republican,1
2015-01-07,DAINES,Energy,MT,Republican,1
2015-01-07,DAINES,Energy,MT,Republican,1
2015-01-07,DAINES,Energy,MT,Republican,1
2015-01-07,DAINES,Energy,MT,Republican,1
2015-01-07,DAINES,Energy,MT,Republican,1
2015-01-07,DAINES,Energy,MT,Republican,1
2015-01-07,DAINES,Energy,MT,Republican,1
2015-01-07,BROWN,Healthcare,OH,Democrat,1
2015-01-07,BROWN,Economy,OH,Democrat,1
2015-01-07,BROWN,Economy,OH,Democrat,1
2015-01-07,CASEY,Healthcare,not found,Independent,1
2015-01-07,CASEY,Healthcare,not found,Independent,1
2015-01-07,CASEY,Healthcare,not found,Independent,1
2015-01-07,SCOTT,Nominations,SC,Republican,1
2015-01-07,GILLIBRAND,Nominations,NY,Democrat,1
2015-01-07,KING,Education,ME,Independent,1
2015-01-07,BOOKER,Education,NJ,Democrat,1
2015-01-07,BOOKER,Education,NJ,Democrat,1
2015-01-07,BOOKER,Education,NJ,Democrat,1
2015-01-07,BOOKER,Education,NJ,Democrat,1
2015-01-07,BOOKER,Education,NJ,Democrat,1
2015-01-07,BOOKER,Education,NJ,Democrat,1
2015-01-07,BOOKER,Education,NJ,Democrat,1
2015-01-07,DURBIN,Economy,IL,Democrat,1
2015-01-07,VITTER,Energy,LA,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,FISCHER,Healthcare,NE,Republican,1
2015-01-08,LEAHY,Programs and Agencies,VT,Democrat,1
2015-01-08,COCHRAN,Military,MS,Republican,1
2015-01-08,BLUMENTHAL,Nominations,CT,Democrat,1
2015-01-08,COCHRAN,Education,MS,Republican,1
2015-01-08,HELLER,Economy,NV,Republican,1
2015-01-08,CARDIN,Education,MD,Democrat,1
2015-01-08,WARREN,Economy,MA,Democrat,1
2015-01-08,ERNST,Amendments,IA,Republican,1
2015-01-08,ERNST,Amendments,IA,Republican,1
2015-01-08,ERNST,Amendments,IA,Republican,1
2015-01-08,ERNST,Amendments,IA,Republican,1
2015-01-09,VITTER,Programs and Agencies,LA,Republican,1
2015-01-09,SHAHEEN,Healthcare,NH,Democrat,1
2015-01-12,McCONNELL,Energy,KY,Republican,1
2015-01-12,DURBIN,Healthcare,IL,Democrat,1
2015-01-12,DURBIN,Education,IL,Democrat,1
2015-01-12,KAINE,Energy,VA,Democrat,1
2015-01-12,KAINE,Energy,VA,Democrat,1
2015-01-12,KAINE,Energy,VA,Democrat,1
