,Unnamed: 0,domestic total adj gross(2016),domestic lifetime adj gross(2016),budget,actors,director,writer,producer,composer,series,movie title,domestic total gross,domestic lifetime,release date,runtime (mins),rating,genre
0,1,60795800.0,,,,Jon Turteltaub,,,,3 Ninjas,3 Ninjas,29000301.0,,1992-08-07 00:00:00,85.0,PG,Family
1,2,24557400.0,,,,,,,,3 Ninjas,3 Ninjas Kick Back,11798854.0,,1994-05-06 00:00:00,94.0,PG,Family
2,3,827000.0,,,,,,,,3 Ninjas,3 Ninjas Knuckle Up,413479.0,,1995-03-10 00:00:00,87.0,PG-13,Unknown
3,4,697100.0,,,,Sean McNamara,Sean McNamara,,,3 Ninjas,3 Ninjas: High Noon at Mega Mountain,375805.0,,1998-04-10 00:00:00,93.0,PG,Unknown
4,5,113865700.0,,60000000,"['Morgan Freeman', 'Billy Burke']",Lee Tamahori,Marc Moss,,Jerry Goldsmith,Alex Cross,Along Came a Spider,74078174.0,,2001-04-06 00:00:00,103.0,R,Thriller
5,6,114726000.0,,27000000,"['Morgan Freeman', 'Ashley Judd', 'Cary Elwes', 'Brian Cox']",,,,Mark Isham,Alex Cross,Kiss the Girls,60527873.0,,1997-10-03 00:00:00,117.0,R,Thriller
6,7,27979700.0,,35000000,"['Tyler Perry', 'Matthew Fox', 'Jean Reno', 'Edward Burns', 'Rachel Nichols', 'John C. McGinley', 'Cicely Tyson']",Rob Cohen,,,John Debney,Alex Cross,Alex Cross,25888412.0,,2012-10-19 00:00:00,101.0,PG-13,Crime
7,8,136126400.0,,130000000,"['Noomi Rapace', 'Michael Fassbender', 'Charlize Theron', 'Idris Elba', 'Guy Pearce', 'Patrick Wilson*']",Ridley Scott,,,Marc Streitenfeld,Alien,Prometheus,126477084.0,,2012-06-08 00:00:00,124.0,R,Sci-Fi
8,9,199701900.0,,,"['Sigourney Weaver', 'Michael Biehn', 'Lance Henriksen', 'Bill Paxton']",James Cameron,James Cameron,,James Horner,Alien,Aliens,85160248.0,,1986-07-18 00:00:00,137.0,R,Sci-Fi
9,10,112472700.0,,60000000,"['Ewen Bremner', 'Sanaa Lathan', 'Lance Henriksen']",Paul W.S. Anderson,Paul W.S. Anderson,,Harald Kloser,Alien,Alien Vs. Predator,80282231.0,,2004-08-13 00:00:00,87.0,PG-13,Sci-Fi
